mix_id,w_c_ratio,w_b_ratio,k_flag,wb_k_reported
12496,,0.675,TRUE,0.61
12527,,0.675,TRUE,0.61
12526,,0.675,TRUE,0.61
13033,,0.675,TRUE,0.61
12502,,0.675,TRUE,0.61
12504,,0.675,TRUE,0.61
12506,,0.675,TRUE,0.61
12503,,0.675,TRUE,0.61
12498,,0.675,TRUE,0.61
12507,,0.675,TRUE,0.61
12500,,0.675,TRUE,0.61
12499,,0.675,TRUE,0.61
5852,,0.674,FALSE,
12536,,0.671,TRUE,0.64
12980,,0.67,TRUE,0.59
8083,0.67,0.67,FALSE,
8077,0.67,0.67,FALSE,
8078,0.67,0.67,FALSE,
8084,0.67,0.67,FALSE,
640,0.67,0.67,FALSE,
639,0.67,0.67,FALSE,
830,0.67,0.67,FALSE,
8082,0.67,0.67,FALSE,
8081,0.67,0.67,FALSE,
8080,0.67,0.67,FALSE,
8079,0.67,0.67,FALSE,
800,0.67,0.67,FALSE,
799,0.67,0.67,FALSE,
5275,,0.67,FALSE,
5295,,0.67,FALSE,
5312,,0.67,FALSE,
8088,0.67,0.67,FALSE,
8087,0.67,0.67,FALSE,
8086,0.67,0.67,FALSE,
8085,0.67,0.67,FALSE,
12534,,0.669,TRUE,0.6
13409,,0.668,TRUE,0.73
12956,,0.667,TRUE,0.67
12443,,0.667,TRUE,0.64
12927,,0.667,TRUE,0.59
12942,,0.667,TRUE,0.59
12436,,0.667,TRUE,0.61
13048,,0.667,TRUE,0.67
13663,,0.667,TRUE,0.64
12944,,0.667,TRUE,0.59
12446,,0.667,TRUE,0.64
13149,,0.667,TRUE,0.59
13065,,0.667,TRUE,0.59
13670,,0.667,TRUE,0.64
13161,,0.667,TRUE,0.67
12442,,0.667,TRUE,0.67
12451,,0.667,TRUE,0.64
12441,,0.667,TRUE,0.67
13060,,0.667,TRUE,0.67
12440,,0.667,TRUE,0.67
12924,,0.667,TRUE,0.59
13400,,0.667,TRUE,0.61
13054,,0.667,TRUE,0.67
13035,,0.667,TRUE,0.61
12933,,0.667,TRUE,0.59
12936,,0.667,TRUE,0.59
12444,,0.667,TRUE,0.64
12450,,0.667,TRUE,0.64
12434,,0.667,TRUE,0.61
12447,,0.667,TRUE,0.64
12432,,0.667,TRUE,0.61
12449,,0.667,TRUE,0.64
13119,,0.667,TRUE,0.64
12448,,0.667,TRUE,0.64
12445,,0.667,TRUE,0.64
13453,,0.664,TRUE,0.62
13441,,0.664,TRUE,0.62
13429,,0.664,TRUE,0.62
5853,,0.664,FALSE,
13280,,0.664,TRUE,0.59
4890,,0.664,FALSE,
13435,,0.664,TRUE,0.62
13286,,0.664,TRUE,0.59
13447,,0.664,TRUE,0.62
13175,,0.663,TRUE,0.59
13190,,0.663,TRUE,0.59
13168,,0.663,TRUE,0.59
13169,,0.663,TRUE,0.59
13174,,0.663,TRUE,0.59
13176,,0.663,TRUE,0.59
13427,,0.663,TRUE,0.73
13179,,0.663,TRUE,0.59
13183,,0.663,TRUE,0.59
13187,,0.663,TRUE,0.59
4887,,0.661,FALSE,
8076,0.66,0.66,FALSE,
657,1.11,0.66,FALSE,
660,1.66,0.66,FALSE,
8075,0.66,0.66,FALSE,
715,1.11,0.66,FALSE,
722,1.66,0.66,FALSE,
724,1.66,0.66,FALSE,
681,1.11,0.66,FALSE,
678,1.11,0.66,FALSE,
8074,0.66,0.66,FALSE,
751,0.66,0.66,FALSE,
750,0.66,0.66,FALSE,
671,1.11,0.66,FALSE,
702,1.11,0.66,FALSE,
554,0.66,0.66,FALSE,
550,0.66,0.66,FALSE,
701,1.66,0.66,FALSE,
666,1.66,0.66,FALSE,
688,1.11,0.66,FALSE,
687,1.11,0.66,FALSE,
538,0.66,0.66,FALSE,
539,0.66,0.66,FALSE,
714,1.66,0.66,FALSE,
711,1.66,0.66,FALSE,
13213,,0.66,TRUE,0.58
656,1.66,0.66,FALSE,
781,0.66,0.66,FALSE,
4899,,0.659,FALSE,
5407,,0.655,FALSE,
5458,,0.655,FALSE,
5430,,0.655,FALSE,
5457,,0.655,FALSE,
5431,,0.655,FALSE,
5438,,0.655,FALSE,
5434,,0.655,FALSE,
5435,,0.655,FALSE,
5406,,0.655,FALSE,
5439,,0.655,FALSE,
12516,,0.653,TRUE,0.58
5604,,0.651,FALSE,
5605,,0.651,FALSE,
5602,,0.651,FALSE,
5598,,0.651,FALSE,
5603,,0.651,FALSE,
5554,,0.651,FALSE,
5597,,0.651,FALSE,
5600,,0.651,FALSE,
5564,,0.651,FALSE,
5567,,0.651,FALSE,
6614,,0.651,FALSE,
4763,,0.651,FALSE,
5549,,0.651,FALSE,
5563,,0.651,FALSE,
6596,,0.651,FALSE,
6578,,0.651,FALSE,
5566,,0.651,FALSE,
5599,,0.651,FALSE,
5593,,0.651,FALSE,
5592,,0.651,FALSE,
5552,,0.651,FALSE,
5553,,0.651,FALSE,
4762,,0.651,FALSE,
5555,,0.651,FALSE,
5558,,0.651,FALSE,
5551,,0.651,FALSE,
5556,,0.651,FALSE,
5595,,0.651,FALSE,
5594,,0.651,FALSE,
5571,,0.651,FALSE,
5548,,0.651,FALSE,
6632,,0.651,FALSE,
5559,,0.651,FALSE,
5569,,0.651,FALSE,
5568,,0.651,FALSE,
5557,,0.651,FALSE,
5570,,0.651,FALSE,
5560,,0.651,FALSE,
4765,,0.651,FALSE,
5565,,0.651,FALSE,
5561,,0.651,FALSE,
4764,,0.651,FALSE,
4754,,0.651,FALSE,
5550,,0.651,FALSE,
5562,,0.651,FALSE,
4757,,0.651,FALSE,
4756,,0.651,FALSE,
4755,,0.651,FALSE,
5751,,0.65,FALSE,
23436,,0.65,FALSE,
23437,,0.65,FALSE,
23460,,0.65,FALSE,
23461,,0.65,FALSE,
23462,,0.65,FALSE,
23463,,0.65,FALSE,
23603,,0.65,FALSE,
23604,,0.65,FALSE,
23605,,0.65,FALSE,
23606,,0.65,FALSE,
23611,,0.65,FALSE,
23612,,0.65,FALSE,
23613,,0.65,FALSE,
23614,,0.65,FALSE,
13242,,0.65,TRUE,0.57
23459,,0.65,FALSE,
23455,,0.65,FALSE,
23454,,0.65,FALSE,
13241,,0.65,TRUE,0.6
13504,,0.65,TRUE,0.65
13513,,0.65,TRUE,0.57
23443,,0.65,FALSE,
23442,,0.65,FALSE,
23441,,0.65,FALSE,
6210,,0.65,FALSE,
6209,,0.65,FALSE,
6200,,0.65,FALSE,
6199,,0.65,FALSE,
6190,,0.65,FALSE,
6189,,0.65,FALSE,
6180,,0.65,FALSE,
6179,,0.65,FALSE,
6170,,0.65,FALSE,
6169,,0.65,FALSE,
6160,,0.65,FALSE,
6159,,0.65,FALSE,
23408,,0.65,FALSE,
8044,0.65,0.65,FALSE,
8045,0.65,0.65,FALSE,
8046,0.65,0.65,FALSE,
8047,0.65,0.65,FALSE,
8048,0.65,0.65,FALSE,
8049,0.65,0.65,FALSE,
8050,0.65,0.65,FALSE,
8051,0.65,0.65,FALSE,
8063,0.65,0.65,FALSE,
8064,0.65,0.65,FALSE,
8065,0.65,0.65,FALSE,
8066,0.65,0.65,FALSE,
8067,0.65,0.65,FALSE,
8068,0.65,0.65,FALSE,
8069,0.65,0.65,FALSE,
8070,0.65,0.65,FALSE,
8071,0.65,0.65,FALSE,
8072,0.65,0.65,FALSE,
8073,0.65,0.65,FALSE,
8052,0.65,0.65,FALSE,
8053,0.65,0.65,FALSE,
8054,0.65,0.65,FALSE,
8055,0.65,0.65,FALSE,
8056,0.65,0.65,FALSE,
8057,0.65,0.65,FALSE,
8058,0.65,0.65,FALSE,
8059,0.65,0.65,FALSE,
8060,0.65,0.65,FALSE,
8061,0.65,0.65,FALSE,
8062,0.65,0.65,FALSE,
23384,,0.65,FALSE,
23383,,0.65,FALSE,
13219,,0.65,TRUE,0.57
13220,,0.65,TRUE,0.57
4871,,0.65,FALSE,
13218,,0.65,TRUE,0.57
13217,,0.65,TRUE,0.57
13216,,0.65,TRUE,0.65
990,1.25,0.65,FALSE,
23407,,0.65,FALSE,
972,1.25,0.65,FALSE,
4868,,0.65,FALSE,
4869,,0.65,FALSE,
4870,,0.65,FALSE,
4872,,0.65,FALSE,
4873,,0.65,FALSE,
4874,,0.65,FALSE,
4875,,0.65,FALSE,
4876,,0.65,FALSE,
4877,,0.65,FALSE,
4878,,0.65,FALSE,
4879,,0.65,FALSE,
4880,,0.65,FALSE,
4881,,0.65,FALSE,
4882,,0.65,FALSE,
4883,,0.65,FALSE,
4885,,0.65,FALSE,
5753,,0.65,FALSE,
5752,,0.65,FALSE,
5750,,0.65,FALSE,
5729,,0.65,FALSE,
5728,,0.65,FALSE,
5727,,0.65,FALSE,
5726,,0.65,FALSE,
5715,,0.65,FALSE,
5714,,0.65,FALSE,
5713,,0.65,FALSE,
5712,,0.65,FALSE,
12483,,0.65,TRUE,0.65
13341,,0.65,TRUE,0.65
13339,,0.65,TRUE,0.65
789,0.65,0.65,FALSE,
5648,,0.65,FALSE,
5647,,0.65,FALSE,
5651,,0.65,FALSE,
5650,,0.65,FALSE,
5649,,0.65,FALSE,
788,0.65,0.65,FALSE,
