reference_no,study_number,mix_number,author,year,specimen_code,Cement (kg/m3),fly_ash_kg_m3,ggbfs_kg_m3,silica_fume_kg_m3,kaolin_kgm3,other_scm1_kg_m3,other_scm1_type,other_scm2_kg_m3,other_scm2_type,nca_kg_m3,rca_kg_m3,nfa_kg_m3,rca_volume_ratio_%,water_kg_m3,added_water_kg_m3,superplasticizer_kg_m3,water_eff_kg_m3,wbr_total,b_coarseagg_ratio,binder_fineagg_ratio,nca1_sg,nca1_nms_mm,nca1_material_type,nca1_crushing_index_pct,nca1_la_abrasion_pct,nca1_fineness_modulus,nca1_w_abs_pct,nca2_sg,nca2_nms_mm,nca2_material_type,nca2_crushing_index_pct,nca2_la_abrasion_pct,nca2_fineness_modulus,nca2_w_abs_pct,rca1_sg,rca1_nms_mm,rca1_material_type,rca1_crushing_index_pct,rca1_la_abrasion_pct,rca1_fineness_modulus,rca1_w_abs_pct,rca2_sg,rca2_nms_mm,rca2_material_type,rca2_crushing_index_pct,rca2_la_abrasion_pct,rca2_fineness_modulus,rca2_w_abs_pct,nfa1_sg,nfa1_nms_mm,nfa1_material_type,nfa1_crushing_index_pct,nfa1_la_abrasion_pct,nfa1_fineness_modulus,nfa1_w_abs_pct,nfa2_sg,nfa2_nms_mm,nfa2_material_type,nfa2_crushing_index_pct,nfa2_la_abrasion_pct,nfa2_fineness_modulus,nfa2_w_abs_pct,reactivity_modulus,silica_modulus,alumina_modulus,cube_dimension,fc_cube_1d_mpa,fc_cube_3d_mpa,fc_cube_7d_mpa,fc_cube_14d_mpa,fc_cube_21d_mpa,fc_cube_28d_mpa,fc_cube_56d_mpa,fc_cube_90d_mpa,fc_cube_180d_mpa,cyl_dia_mm,cyl_height_mm,fc_cyl_1d_mpa,fc_cyl_3d_mpa,fc_cyl_7d_mpa,fc_cyl_14d_mpa,fc_cyl_21d_mpa,fc_cyl_28d_mpa,fc_cyl_56d_mpa,fc_cyl_90d_mpa,fc_cyl_180d_mpa
[44],1,36,Kou ,2006,a-R100F35,359.775,193.725,,,,,,,,0,1017,598,100%,225,,2.8,227,0.41,0.54,0.93,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.644805293,1.748800558,3.644466575,100,18.6,32.3,39,,,54.5,,69,,,,,,,,,,,,
[44],1,37,Kou ,2006,R0,410,0,,,,,,,,1081,0,662,0%,205,,,205,0.5,0.38,0.62,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,3.723610403,1.841314554,2.207831325,100,20.5,36.2,42.8,,,54.1,,57.6,,,,,,,,,,,,
[44],1,38,Kou ,2006,R20,410,0,,,,,,,,865,210,662,20%,205,,,205,0.5,0.38,0.62,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,3.723610403,1.841314554,2.207831325,100,18.5,35.5,39.2,,,51.7,,55.8,,,,,,,,,,,,
[44],1,39,Kou ,2006,R50,410,0,,,,,,,,541,525,662,50%,205,,,205,0.5,0.38,0.62,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,3.723610403,1.841314554,2.207831325,100,16.7,31.1,38.4,,,47.1,,53.6,,,,,,,,,,,,
[44],1,40,Kou ,2006,R100,410,0,,,,,,,,0,1049,662,100%,205,,,205,0.5,0.39,0.62,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,3.723610403,1.841314554,2.207831325,100,13.9,23.1,31.8,,,43.4,,50.7,,,,,,,,,,,,
[44],1,41,Kou ,2006,a-R0,384.375,128.125,,,,,,,,1009,0,618,0%,205,,,205,0.4,0.51,0.83,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.953035325,1.765999695,3.287491814,100,22.5,37.6,43,,,57.6,,72.8,,,,,,,,,,,,
[44],1,42,Kou ,2006,a-R20F25,384.375,128.125,,,,,,,,802,196,618,20%,205,,,205,0.4,0.51,0.83,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.953035325,1.765999695,3.287491814,100,21,35.4,42.2,,,55.8,,71.4,,,,,,,,,,,,
[44],1,43,Kou ,2006,a-R50F25,384.375,128.125,,,,,,,,505,489,618,50%,205,,,205,0.4,0.52,0.83,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.953035325,1.765999695,3.287491814,100,20,34.7,41.9,,,52.5,,71,,,,,,,,,,,,
[44],1,44,Kou ,2006,a-R100F25,384.375,128.125,,,,,,,,0,979,618,100%,205,,,205,0.4,0.52,0.83,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,2.953035325,1.765999695,3.287491814,100,16.5,33.5,39.5,,,51.2,,71.5,,,,,,,,,,,,
[44],1,45,Kou ,2006,R0,400,0,,,,,,,,1108,0,708,0%,180,,,180,0.45,0.36,0.56,2.62,20,Crushed granite,,,,1.11,,,,,,,,2.58,20,C&D waste,,,,3.52,2.49,10,C&D waste,,,,4.26,2.63,,River sand,,,,0.88,,,,,,,,3.723610403,1.841314554,2.207831325,100,25.8,45.8,53.7,,,66.8,,72.3,,,,,,,,,,,,
