item number,reference number,mix_name_ref,binder(s),cement type,cemen_strength_class,clinker content,cement content,scm1 type,scm1 content (kg/m3),scm2 type,scm2 content (kg/m3),water content (kg/m3),water binder ratio,admixture1_type,admixture1_kgm3,admixture2_type,admixture2_kgm3,fcm. cube 150. wet curing (28 d)
854,44359,RA2 (3),CEM I with GGBFS,CEM I,32.5R,1,280,GGBFS,92,,0,186,0.5,,0,,0,44.256
855,44359,RA3 (3),CEM I with GGBFS,CEM I,32.5R,1,186,GGBFS,186,,0,186,0.5,,0,,0,36.011
856,44359,RA4 (3),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,280,fly_ash_bituminous_coal,92,,0,186,0.59,,0,,0,36.254
857,44359,RA5 (3),CEM I with fly_ash_bituminous_coal,CEM I,32.5R,1,156,fly_ash_bituminous_coal,216,,0,130,0.74,air_entrainer,0.2184,SP,3.6036,33.586
858,44359,RA6 (3),CEM I with SF,CEM I,32.5R,1,335,SF,37.2,,0,186,0.5,,0,,0,48.015
859,32876,1,CEM I,CEM I,32.5R,1,356,,0,,0,160,0.45,SP,4.3432,,0,64.869
860,32876,2,CEM I with GGBFS,CEM I,32.5R,1,249,GGBFS,107,,0,160,0.45,SP,3.984,,0,63.656
861,32876,3,CEM I with GGBFS,CEM I,32.5R,1,178,GGBFS,178,,0,160,0.45,SP,3.8448,,0,61.353
862,32876,4,CEM I with GGBFS,CEM I,32.5R,1,107,GGBFS,249,,0,160,0.45,SP,3.8413,,0,50.198
863,32876,5,CEM I,CEM I,32.5R,1,400,,0,,0,160,0.4,SP,4.96,,0,73.114
864,32876,6,CEM I with GGBFS,CEM I,32.5R,1,280,GGBFS,120,,0,160,0.4,SP,4.564,,0,71.901
865,32876,7,CEM I with GGBFS,CEM I,32.5R,1,200,GGBFS,200,,0,160,0.4,SP,4.4,,0,66.324
866,32876,8,CEM I with GGBFS,CEM I,32.5R,1,120,GGBFS,280,,0,160,0.4,SP,4.404,,0,56.503
867,32876,9,CEM I,CEM I,32.5R,1,457,,0,,0,160,0.35,SP,5.7582,,0,82.935
868,32876,10,CEM I with GGBFS,CEM I,32.5R,1,320,GGBFS,137,,0,160,0.35,SP,5.312,,0,81.723
869,32876,11,CEM I with GGBFS,CEM I,32.5R,1,229,GGBFS,229,,0,160,0.35,SP,5.1067,,0,80.146
870,32876,12,CEM I with GGBFS,CEM I,32.5R,1,137,GGBFS,320,,0,160,0.35,SP,5.1238,,0,70.689
