Mix Number,Year of Publication,Source,Eff. W/C ratio,RCA Content,NCA Content,NFA Content,Cement Content kg/m^3,RCA Bulk Density kg/m^3,NCA Bulk Density kg/m^3,RCA Agg. Size,NCA Size (mm),RCA Water Absorption [%],NCA Water Absorption [%],Slump mm,Specimen Type [in.],Compressive Strength
407,2015,Vivian et al.,0.45,176.36,176.36,727.27,400,2640,2720,20,20,2.68,0.57,70,4x8 Cylinder,50
408,2015,Vivian et al.,0.45,246.91,105.82,727.27,400,2640,2720,20,20,2.68,0.57,75,4x8 Cylinder,46.8
409,2015,Vivian et al.,0.45,352.73,0,727.27,400,2640,,20,,2.68,,80,4x8 Cylinder,41.5
410,2015,Vivian et al.,0.45,909.5,0,535,535,2640,,20,,2.68,,70,4x8 Cylinder,55.46
411,2015,Vivian et al.,0.45,64,0,800,320,2640,,20,,2.68,,70,4x8 Cylinder,27.13
412,2018,Thomas et al. 2,0.45,0,600,750,300,,2720,,20,,0.7,,6x6x6 Cube,34
413,2018,Thomas et al. 2,0.45,0,560,700,350,,2720,,20,,0.7,,6x6x6 Cube,41
414,2018,Thomas et al. 2,0.45,0,482.14,642.86,450,,2720,,20,,0.7,,6x6x6 Cube,47.4
415,2018,Thomas et al. 2,0.45,135,405,750,300,2340,2720,20,20,6.4,0.7,,6x6x6 Cube,33.5
416,2018,Thomas et al. 2,0.45,131.25,393.75,700,350,2340,2720,20,20,6.4,0.7,,6x6x6 Cube,38.9
417,2018,Thomas et al. 2,0.45,109.29,327.86,642.86,450,2340,2720,20,20,6.4,0.7,,6x6x6 Cube,46.1
418,2018,Thomas et al. 2,0.45,240,240,750,300,2340,2720,20,20,6.4,0.7,,6x6x6 Cube,32.2
419,2018,Thomas et al. 2,0.45,245,245,700,350,2340,2720,20,20,6.4,0.7,,6x6x6 Cube,35.9
420,2018,Thomas et al. 2,0.45,196.07,196.07,642.86,450,2340,2720,20,20,6.4,0.7,,6x6x6 Cube,44
421,2018,Thomas et al. 2,0.45,360,0,750,300,2340,,20,,6.4,,,6x6x6 Cube,30.2
422,2018,Thomas et al. 2,0.45,385,0,700,350,2340,,20,,6.4,,,6x6x6 Cube,35
423,2018,Thomas et al. 2,0.45,302.14,0,642.86,450,2340,,20,,6.4,,,6x6x6 Cube,40.2
424,2018,Thomas et al. 3,0.45,38,152,760,380,2320,2540,20,20,5.3,1.8,18,,64.8
425,2013,Deng et al.,0.45,237.06,237.06,656.67,394,,,,,,,,4x4x4 cube,39.5
426,2007,Evangelista and De Brito,0.46,412.48,412.48,581.04,380,2165,2564,20,25,6.8,0.8,,6x6x6 Cube,60.8
427,2007,Poon et al.,0.46,307.5,76.88,640.63,410,2570,2620,20,20,3.5,1.1,,4x4x4 Cube,39.2
431,2010,Bai and Sun,0.46,489.72,209.88,530,424,,,19,19,,,40,,43.7
432,2012,Hoffmann et al.,0.46,663,442,812.5,325,2650,,32,15,2.7,0.2,,6x12 Cylinder,54.3
433,2012,Pereira et al.,0.46,1026.67,0,583.33,350,2010,,12,,10.9,,112,6x6x6 Cube,38.6
434,2013,Kim et al.,0.46,208.2,0,694,347,2140,,25,,6.28,,,4x8 Cylinder,29
435,2013,Sheen et al.,0.46,0,417.71,614.29,430,,2630,,38,,1.2,115,4x8 Cylinder,42.2
436,2013,Sheen et al.,0.46,417.71,0,614.29,430,2260,,25,,7.5,,95,4x8 Cylinder,31.3
437,2013,Sheen et al.,0.46,602,0,430,430,2260,,25,,7.5,,60,4x8 Cylinder,28.4
438,2013,Sheen et al.,0.46,602,0,430,430,2260,,25,,7.5,,50,4x8 Cylinder,28
